448	Pori Airport	Pori	Finland	POR	EFPO	2
453	Rovaniemi Airport	Rovaniemi	Finland	RVN	EFRO	2
455	Savonlinna Airport	Savonlinna	Finland	SVL	EFSA	2
457	Sodankyla Airport	Sodankyla	Finland	SOT	EFSO	2
458	Tampere-Pirkkala Airport	Tampere	Finland	TMP	EFTP	2
460	Turku Airport	Turku	Finland	TKU	EFTU	2
461	Utti Air Base	Utti	Finland	QVY	EFUT	2
462	Vaasa Airport	Vaasa	Finland	VAA	EFVA	2
463	Varkaus Airport	Varkaus	Finland	VRK	EFVR	2
465	Belfast International Airport	Belfast	United Kingdom	BFS	EGAA	0
466	St Angelo Airport	Enniskillen	United Kingdom	ENK	EGAB	0
467	George Best Belfast City Airport	Belfast	United Kingdom	BHD	EGAC	0
468	City of Derry Airport	Londonderry	United Kingdom	LDY	EGAE	0
469	Birmingham International Airport	Birmingham	United Kingdom	BHX	EGBB	0
470	Coventry Airport	Coventry	United Kingdom	CVT	EGBE	0
472	Gloucestershire Airport	Golouchestershire	United Kingdom	GLO	EGBJ	0
478	Manchester Airport	Manchester	United Kingdom	MAN	EGCC	0
481	Newquay Cornwall Airport	Newquai	United Kingdom	NQY	EGHQ	0
482	RAF Lyneham	Lyneham	United Kingdom	LYE	EGDL	0
486	RNAS Yeovilton	Yeovilton	United Kingdom	YEO	EGDY	0
488	Cardiff International Airport	Cardiff	United Kingdom	CWL	EGFF	0
489	Swansea Airport	Swansea	United Kingdom	SWS	EGFH	0
490	Bristol Airport	Bristol	United Kingdom	BRS	EGGD	0
491	Liverpool John Lennon Airport	Liverpool	United Kingdom	LPL	EGGP	0
492	London Luton Airport	London	United Kingdom	LTN	EGGW	0
493	Plymouth City Airport	Plymouth	United Kingdom	PLH	EGHD	0
494	Bournemouth Airport	Bournemouth	United Kingdom	BOH	EGHH	0
495	Southampton Airport	Southampton	United Kingdom	SOU	EGHI	0
496	Lasham Airport	Lasham	United Kingdom	QLA	EGHL	0
497	Alderney Airport	Alderney	Guernsey	ACI	EGJA	0
498	Guernsey Airport	Guernsey	Guernsey	GCI	EGJB	0
499	Jersey Airport	Jersey	Jersey	JER	EGJJ	0
500	Shoreham Airport	Shoreham By Sea	United Kingdom	ESH	EGKA	0
501	London Biggin Hill Airport	Biggin Hill	United Kingdom	BQH	EGKB	0
502	London Gatwick Airport	London	United Kingdom	LGW	EGKK	0
503	London City Airport	London	United Kingdom	LCY	EGLC	0
504	Farnborough Airport	Farnborough	United Kingdom	FAB	EGLF	0
506	Blackbushe Airport	Blackbushe	United Kingdom	BBS	EGLK	0
507	London Heathrow Airport	London	United Kingdom	LHR	EGLL	0
508	Southend Airport	Southend	United Kingdom	SEN	EGMC	0
509	Lydd Airport	Lydd	United Kingdom	LYX	EGMD	0
510	Kent International Airport	Manston	United Kingdom	MSE	EGMH	0
512	Carlisle Airport	Carlisle	United Kingdom	CAX	EGNC	0
514	Blackpool International Airport	Blackpool	United Kingdom	BLK	EGNH	0
515	Humberside Airport	Humberside	United Kingdom	HUY	EGNJ	0
516	Barrow Walney Island Airport	Barrow Island	United Kingdom	BWF	EGNL	0
517	Leeds Bradford Airport	Leeds	United Kingdom	LBA	EGNM	0
519	Hawarden Airport	Hawarden	United Kingdom	CEG	EGNR	0
520	Isle of Man Airport	Isle Of Man	Isle of Man	IOM	EGNS	0
521	Newcastle Airport	Newcastle	United Kingdom	NCL	EGNT	0
522	Durham Tees Valley Airport	Teesside	United Kingdom	MME	EGNV	0
523	East Midlands Airport	East Midlands	United Kingdom	EMA	EGNX	0
529	Kirkwall Airport	Kirkwall	United Kingdom	KOI	EGPA	0
530	Sumburgh Airport	Sumburgh	United Kingdom	LSI	EGPB	0
531	Wick Airport	Wick	United Kingdom	WIC	EGPC	0
532	Aberdeen Dyce Airport	Aberdeen	United Kingdom	ABZ	EGPD	0
533	Inverness Airport	Inverness	United Kingdom	INV	EGPE	0
